Open,High,Low,Close,Volume,Adj Close
12.5,12.5,12.5,12.5,0,11.081
12.5,12.5,12.5,12.5,0,11.081
12.0,12.0,12.0,12.0,0,10.638
12.1,12.1,11.5,11.5,0,10.195
11.0,11.0,11.0,11.0,0,9.751
11.0,11.0,11.0,11.0,0,9.751
11.7,11.7,11.7,11.7,0,10.372
11.6,11.6,11.6,11.6,0,10.283
11.5,11.5,11.5,11.5,0,10.195
11.5,11.5,11.5,11.5,0,10.195
11.5,11.5,11.5,11.5,0,10.195
11.7,11.7,11.7,11.7,0,10.372
11.7,11.7,11.7,11.7,0,10.372
12.3,12.3,12.3,12.3,0,10.904000000000002
12.8,12.8,12.8,12.8,0,11.347000000000001
12.8,12.8,12.8,12.8,0,11.347000000000001
12.8,12.8,12.78,12.78,0,11.329
12.6,12.6,12.6,12.6,0,11.17
12.5,12.5,12.5,12.5,0,11.081
12.4,12.4,12.4,12.4,0,10.993
12.5,12.5,12.5,12.5,0,11.081
12.6,12.6,12.6,12.6,0,11.17
12.37,12.37,12.37,12.37,0,10.966
12.35,12.35,12.35,12.35,0,10.948
11.96,11.96,11.96,11.96,0,10.602
11.9,11.9,11.9,11.9,0,10.549000000000001
11.9,11.9,11.9,11.9,0,10.549000000000001
11.5,11.5,11.5,11.5,0,10.195
11.31,11.31,11.31,11.31,0,10.026
11.55,11.55,11.55,11.55,0,10.238999999999999
11.71,11.71,11.71,11.71,0,10.380999999999998
11.7,11.7,11.7,11.7,0,10.372
11.7,11.7,11.7,11.7,0,10.372
11.7,11.7,11.7,11.7,0,10.372
11.7,11.7,11.7,11.7,0,10.372
11.5,11.5,11.5,11.5,0,10.195
11.5,11.5,11.5,11.5,200,10.195
11.25,11.25,11.25,11.25,0,9.972999999999999
11.0,11.0,11.0,11.0,0,9.751
10.6,10.6,10.6,10.6,0,9.397
10.8,10.8,10.8,10.8,0,9.574
11.1,11.1,11.1,11.1,0,9.84
11.01,11.01,11.01,11.01,0,9.76
11.8,11.8,11.8,11.8,0,10.460999999999999
12.72,12.72,12.72,12.72,0,11.276
12.82,12.82,12.82,12.82,0,11.365
12.8,12.8,12.8,12.8,0,11.347000000000001
12.8,12.8,12.8,12.8,0,11.347000000000001
12.53,12.53,12.53,12.53,0,11.107999999999999
12.56,12.56,12.56,12.56,0,11.134
12.5,12.5,12.5,12.5,0,11.081
12.55,12.55,12.55,12.55,0,11.126
12.56,12.56,12.56,12.56,0,11.134
12.57,12.57,12.57,12.57,0,11.142999999999999
12.5,12.5,12.5,12.5,0,11.081
12.57,12.57,12.57,12.57,0,11.142999999999999
12.5,12.5,12.5,12.5,0,11.081
12.4,12.4,12.4,12.4,0,10.993
12.4,12.4,12.4,12.4,0,10.993
12.38,12.38,12.38,12.38,0,10.975
12.27,12.27,12.27,12.27,0,10.877
12.25,12.25,12.25,12.25,0,10.86
12.3,12.3,12.3,12.3,0,10.904000000000002
12.25,12.25,12.25,12.25,0,10.86
12.2,12.2,12.2,12.2,0,10.815
12.3,12.3,12.3,12.3,0,10.904000000000002
12.3,12.3,12.3,12.3,0,10.904000000000002
12.5,12.5,12.5,12.5,0,11.081
11.8,11.8,11.8,11.8,0,10.460999999999999
11.65,11.65,11.65,11.65,0,10.328
11.8,11.8,11.8,11.8,0,10.460999999999999
11.8,11.8,11.8,11.8,0,10.460999999999999
11.23,11.23,11.23,11.23,0,9.955
10.7,10.7,10.7,10.7,0,9.485
10.51,10.51,10.51,10.51,0,9.317
10.3,10.3,10.3,10.3,0,9.131
10.3,10.3,10.3,10.3,0,9.131
10.5,10.5,10.5,10.5,0,9.308
10.56,10.56,10.56,10.56,0,9.361
10.5,10.5,10.5,10.5,0,9.308
11.0,11.0,11.0,11.0,0,9.751
11.0,11.0,11.0,11.0,0,9.751
11.0,11.0,11.0,11.0,0,9.751
11.0,11.0,11.0,11.0,0,9.751
11.3,11.3,11.3,11.3,0,10.017000000000001
11.2,11.2,11.2,11.2,0,9.929
10.95,10.95,10.95,10.95,0,9.707
10.85,10.85,10.85,10.85,0,9.618
11.11,11.11,11.11,11.11,0,9.849
11.4,11.4,11.4,11.4,0,10.106
11.31,11.31,11.31,11.31,0,10.026
11.41,11.41,11.41,11.41,0,10.115
11.31,11.69,11.31,11.69,100,10.363
11.51,11.51,11.51,11.51,0,10.204
11.71,11.71,11.71,11.71,0,10.380999999999998
11.66,11.66,11.66,11.66,0,10.337
11.81,11.81,11.81,11.81,0,10.469000000000001
11.76,11.76,11.76,11.76,0,10.425
11.81,11.81,11.81,11.81,0,10.469000000000001
11.9,11.9,11.9,11.9,0,10.549000000000001
12.0,12.0,12.0,12.0,0,10.638
11.9,11.9,11.9,11.9,0,10.549000000000001
12.0,12.0,12.0,12.0,0,10.638
11.91,11.91,11.91,11.91,0,10.558
11.9,11.9,11.9,11.9,0,10.549000000000001
12.0,12.0,12.0,12.0,0,10.638
12.3,12.3,12.3,12.3,0,10.904000000000002
12.25,12.25,12.25,12.25,0,10.86
12.32,12.32,12.32,12.32,0,10.922
12.3,12.3,12.3,12.3,0,10.904000000000002
12.35,12.35,12.35,12.35,0,10.948
12.35,12.35,12.35,12.35,0,10.948
12.26,12.26,12.26,12.26,0,10.868
12.62,12.62,12.62,12.62,0,11.187999999999999
12.8,13.4,12.8,13.4,100,11.879000000000001
13.6,13.85,13.6,13.85,0,12.277999999999999
14.07,14.32,14.07,14.32,0,12.695
14.45,14.45,14.45,14.45,0,12.81
14.55,14.55,14.55,14.55,0,12.898
14.1,14.1,14.1,14.1,0,12.5
14.17,14.17,14.17,14.17,0,12.562000000000001
14.16,14.16,14.16,14.16,0,12.552999999999999
14.15,14.15,14.15,14.15,0,12.544
13.8,13.8,13.8,13.8,0,12.234000000000002
14.1,14.1,14.1,14.1,0,12.5
14.0,14.0,14.0,14.0,0,12.411
13.65,13.65,13.65,13.65,0,12.100999999999999
13.75,13.75,13.75,13.75,0,12.189
13.85,13.85,13.85,13.85,0,12.277999999999999
13.8,13.8,13.8,13.8,0,12.234000000000002
14.3,14.3,14.3,14.3,0,12.677
14.22,14.22,14.22,14.22,0,12.606
14.3,14.3,14.3,14.3,0,12.677
14.3,14.3,14.3,14.3,0,12.677
14.22,14.22,14.22,14.22,0,12.606
14.2,14.2,14.2,14.2,0,12.588
14.25,14.25,14.25,14.25,0,12.633
14.22,14.22,14.22,14.22,0,12.606
14.22,14.22,14.22,14.22,0,12.606
14.22,14.22,14.22,14.22,0,12.606
